age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
65plus,male,degree,other,17500_24999,3,1,1,0,3,3,1,5,5,5,3,5,0.79749,0.1349925272543115,0
65plus,female,no_qual,other,up_to_9499,2,1,1,0,3,1,1,5,5,5,5,1,1.17074,0.1349925272543115,0
45-54,female,degree,cons,25000plus,2,1,1,0,2,1,4,5,5,4,3,3,2.06468,0.1349925272543115,0
25-34,female,no_qual,no_party,up_to_9499,3,1,1,1,2,3,3,4,5,4,4,3,1.55678,0.6612552775959889,1
25-34,female,other,labour,9500_17499,3,1,1,0,2,3,3,5,5,4,3,2,1.2629,0.1349925272543115,0
65plus,female,alevel,other,up_to_9499,2,1,1,1,1,1,4,5,5,1,4,2,1.1528,0.6612552775959889,1
15-24,male,alevel,no_party,25000plus,2,1,1,0,1,1,3,4,4,3,3,2,1.17916,0.1349925272543115,0
25-34,male,gcse,labour,25000plus,3,1,1,0,1,1,3,4,4,2,3,2,2.04164,0.1349925272543115,0
65plus,male,degree,cons,25000plus,2,1,1,0,2,2,5,5,5,1,5,4,0.62094,0.1349925272543115,0
25-34,female,alevel,no_party,25000plus,4,1,1,0,3,2,1,1,1,1,4,3,1.05096,0.1349925272543115,0
25-34,female,gcse,no_party,25000plus,1,1,1,0,1,1,1,1,1,1,3,1,1.05096,0.1349925272543115,0
15-24,male,student,no_party,25000plus,2,1,1,1,2,1,2,2,2,3,4,1,0.94084,0.6612552775959889,1
65plus,female,gcse,no_party,25000plus,3,1,1,1,5,5,2,2,2,2,4,2,1.08284,0.6612552775959889,1
55-64,female,gcse,labour,up_to_9499,3,1,1,0,3,3,4,5,5,5,4,3,0.98285,0.1349925272543115,0
65plus,female,gcse,cons,9500_17499,3,1,0,0,3,3,3,4,3,3,3,1,0.81702,-0.6248319183436151,0
65plus,male,no_qual,labour,up_to_9499,2,1,1,0,3,2,1,4,4,1,4,2,0.64169,0.1349925272543115,0
45-54,male,degree,other,25000plus,3,1,1,0,3,2,3,5,4,3,4,3,1.08007,0.1349925272543115,0
55-64,female,degree,other,17500_24999,5,1,1,0,2,2,4,5,5,5,3,5,0.94883,0.1349925272543115,0
45-54,male,no_qual,other,25000plus,3,1,1,1,1,5,3,5,3,1,3,1,0.53794,0.6612552775959889,1
25-34,male,gcse,labour,up_to_9499,5,1,1,1,5,2,1,5,5,1,1,3,1.50922,0.6612552775959889,1
55-64,female,no_qual,no_party,9500_17499,3,1,1,0,3,2,2,3,5,2,5,3,0.98285,0.1349925272543115,0
65plus,male,no_qual,other,9500_17499,1,0,0,0,1,1,1,1,1,1,5,1,0.53943,-1.7368542675113936,0
55-64,male,gcse,labour,25000plus,4,1,1,0,3,3,5,4,5,2,5,5,0.70282,0.1349925272543115,0
65plus,male,degree,cons,25000plus,2,1,1,0,4,1,2,5,5,4,4,5,0.53836,0.1349925272543115,0
65plus,female,no_qual,labour,9500_17499,3,0,0,0,2,3,3,3,4,2,3,3,0.99977,-1.7368542675113936,0
35-44,female,degree,labour,25000plus,5,1,1,0,1,1,3,3,3,3,3,3,1.33979,0.1349925272543115,0
15-24,female,alevel,labour,25000plus,3,1,1,0,3,2,4,3,3,4,3,3,0.90782,0.1349925272543115,0
65plus,male,no_qual,no_party,9500_17499,2,1,1,0,1,1,2,4,3,3,4,1,0.76685,0.1349925272543115,0
45-54,female,no_qual,no_party,9500_17499,1,1,1,0,2,2,3,4,3,4,3,3,0.85801,0.1349925272543115,0
